Age,Ht,TailLn,HairLn,BangLn,Reach,EarLobes,ClassName,ClassID
30.2,129.0,10.2,7.4,4.9,132.9,1,Assam,-1
57.3,157.5,5.0,10.0,4.7,161.0,1,Bhuttan,+1
39.8,150.9,11.7,9.9,4.9,156.0,1,Bhuttan,+1
41.2,154.2,12.1,9.7,4.8,156.7,0,Assam,-1
29.5,121.8,12.0,4.3,6.0,124.3,1,Assam,-1
35.5,145.2,10.4,10.2,5.8,148.7,0,Assam,-1
39.9,140.2,19.6,12.5,6.4,144.1,1,Bhuttan,+1
45.3,131.9,5.5,7.5,5.9,137.7,1,Bhuttan,+1
57.0,146.9,5.8,7.0,5.8,149.4,0,Assam,-1
72.4,129.9,10.0,7.1,4.3,132.4,0,Assam,-1
45.1,157.4,11.4,7.2,4.8,161.1,1,Bhuttan,+1
40.6,139.7,14.5,7.4,5.6,143.4,0,Assam,-1
60.7,134.9,13.6,9.6,6.4,137.4,1,Assam,-1
45.2,145.5,2.3,7.3,6.1,150.2,1,Bhuttan,+1
27.3,132.0,7.0,8.9,6.0,139.1,1,Bhuttan,+1
34.3,144.9,11.4,7.5,4.9,147.4,0,Assam,-1
51.3,144.7,16.8,13.4,6.1,148.2,1,Bhuttan,+1
41.7,140.0,7.6,8.7,5.7,147.0,1,Bhuttan,+1
30.8,147.1,10.0,13.0,4.9,150.6,1,Bhuttan,+1
32.4,152.3,7.7,7.0,5.4,154.8,0,Assam,-1
46.5,143.0,15.1,7.3,5.6,145.5,0,Assam,-1
36.6,132.7,6.0,9.4,7.3,140.4,1,Bhuttan,+1
33.2,158.3,8.0,6.3,5.5,160.8,0,Assam,-1
47.7,159.1,14.8,6.5,4.5,161.6,0,Assam,-1
56.5,154.5,16.8,12.6,3.9,158.5,1,Bhuttan,+1
31.0,140.7,4.0,9.4,6.0,144.2,1,Bhuttan,+1
35.1,151.1,13.4,8.2,4.3,153.6,0,Assam,-1
36.2,136.8,19.5,6.2,5.5,140.3,1,Bhuttan,+1
49.9,155.3,3.4,6.8,6.3,157.8,0,Assam,-1
33.1,130.9,6.4,13.7,6.4,136.6,1,Bhuttan,+1
34.7,142.1,6.3,7.2,5.7,146.1,1,Bhuttan,+1
25.4,135.1,9.7,11.1,5.2,139.5,1,Bhuttan,+1
27.4,152.5,11.9,3.2,5.6,155.0,0,Assam,-1
35.7,143.0,17.9,10.2,5.6,146.5,0,Bhuttan,+1
26.9,138.7,5.4,7.9,7.3,145.5,0,Bhuttan,+1
40.7,137.3,11.4,14.5,6.5,141.2,1,Bhuttan,+1
50.6,144.0,8.2,7.3,6.5,146.5,0,Assam,-1
32.5,126.0,3.4,7.6,6.1,129.5,1,Bhuttan,+1
48.0,132.7,7.8,8.8,4.0,138.5,0,Bhuttan,+1
43.3,153.6,4.6,7.7,5.0,157.3,1,Bhuttan,+1
55.1,133.6,9.3,8.2,7.0,137.2,0,Assam,-1
51.0,141.2,5.4,12.2,5.5,144.7,1,Bhuttan,+1
27.7,138.8,17.5,8.3,6.3,141.3,0,Assam,-1
49.8,145.2,18.0,7.6,4.7,147.7,1,Assam,-1
36.5,150.6,2.6,11.4,3.3,154.1,0,Bhuttan,+1
36.4,141.0,1.6,9.9,4.5,148.4,1,Bhuttan,+1
58.5,148.8,10.0,11.2,6.3,153.7,1,Bhuttan,+1
38.0,143.2,14.1,7.2,6.6,147.0,1,Bhuttan,+1
50.5,140.3,11.8,9.6,6.1,143.8,1,Bhuttan,+1
47.0,132.9,6.1,15.7,7.3,140.9,0,Bhuttan,+1
41.5,147.5,7.4,10.7,4.6,150.0,0,Assam,-1
62.3,121.9,14.4,6.7,3.2,124.4,0,Assam,-1
37.8,143.6,15.5,10.4,5.4,147.1,0,Bhuttan,+1
13.7,144.3,17.5,6.1,4.2,146.8,1,Assam,-1
57.0,141.9,14.6,9.4,3.7,144.4,0,Assam,-1
34.7,124.9,4.8,12.0,4.5,129.8,0,Bhuttan,+1
55.4,121.2,11.2,6.5,5.2,123.7,1,Assam,-1
49.7,139.8,13.8,13.6,7.2,148.8,1,Bhuttan,+1
35.2,141.0,8.6,13.2,6.8,145.4,0,Bhuttan,+1
49.1,168.7,6.2,11.9,6.4,174.1,1,Bhuttan,+1
38.0,144.1,18.8,7.6,3.7,149.3,1,Bhuttan,+1
45.7,150.5,8.4,10.6,6.4,155.1,1,Bhuttan,+1
55.3,133.7,13.3,7.2,5.1,136.2,0,Assam,-1
53.0,139.1,11.3,8.8,6.1,141.6,0,Assam,-1
45.2,150.8,10.9,8.6,4.4,154.3,1,Bhuttan,+1
51.0,148.3,18.5,6.4,4.2,150.8,0,Assam,-1
36.8,148.3,11.7,6.4,5.1,150.8,0,Assam,-1
58.7,123.6,12.5,6.3,3.0,127.6,0,Assam,-1
41.5,175.9,12.3,11.5,7.3,181.8,1,Bhuttan,+1
32.3,128.7,6.6,12.5,7.3,134.6,0,Bhuttan,+1
39.6,155.9,25.4,8.3,5.6,158.4,0,Assam,-1
41.7,133.4,6.0,7.1,8.0,137.5,1,Bhuttan,+1
62.9,147.7,16.0,12.1,5.4,151.9,1,Bhuttan,+1
32.8,141.0,8.9,9.7,5.7,146.9,1,Bhuttan,+1
41.4,137.8,9.5,11.1,4.2,141.8,1,Bhuttan,+1
41.8,128.2,8.0,9.6,6.3,135.3,1,Bhuttan,+1
40.3,167.1,10.6,6.5,4.3,169.6,0,Assam,-1
28.4,144.7,8.4,12.1,7.2,148.2,1,Bhuttan,+1
48.2,149.0,11.8,7.9,5.9,154.1,1,Bhuttan,+1
45.5,143.8,10.4,13.1,6.6,153.5,1,Bhuttan,+1
60.3,151.4,9.3,8.7,5.5,153.9,0,Assam,-1
59.0,141.4,14.1,7.1,6.7,143.9,0,Assam,-1
61.0,128.7,12.4,7.5,5.3,131.5,1,Assam,-1
66.3,141.5,12.5,8.4,4.9,144.0,0,Assam,-1
38.6,149.8,17.3,6.1,3.9,152.3,0,Assam,-1
62.1,137.7,11.7,8.1,3.5,140.6,1,Assam,-1
54.0,144.4,7.1,4.7,5.9,152.8,1,Bhuttan,+1
43.8,167.6,13.5,7.7,3.9,170.1,0,Assam,-1
35.7,129.7,4.7,11.3,6.3,133.3,1,Bhuttan,+1
37.4,153.7,8.9,12.0,5.4,157.2,1,Bhuttan,+1
56.7,141.4,17.6,8.9,5.3,143.9,0,Assam,-1
31.7,152.1,1.2,7.8,4.8,155.6,1,Bhuttan,+1
47.6,135.7,18.7,7.9,3.7,138.2,0,Assam,-1
23.2,152.4,9.2,10.0,6.1,157.5,1,Bhuttan,+1
39.8,143.0,13.3,8.6,7.4,146.5,1,Bhuttan,+1
33.0,144.4,13.3,10.3,5.8,147.9,1,Bhuttan,+1
51.0,136.0,12.7,7.4,5.2,138.6,0,Assam,-1
28.1,154.5,13.3,10.7,3.9,160.4,1,Bhuttan,+1
52.2,145.1,15.4,7.8,6.9,147.6,0,Assam,-1
45.6,140.2,13.5,10.9,4.3,145.3,0,Assam,-1
31.3,143.4,7.5,8.5,5.8,146.9,1,Bhuttan,+1
55.7,145.3,10.2,7.5,4.6,147.8,0,Assam,-1
38.3,141.6,12.3,7.2,2.7,144.1,0,Assam,-1
36.7,139.2,13.2,9.4,5.1,142.8,1,Bhuttan,+1
30.9,140.5,4.6,10.3,6.7,146.1,1,Bhuttan,+1
27.8,148.1,6.7,6.3,6.0,151.6,1,Bhuttan,+1
36.6,150.0,14.1,9.0,6.5,153.5,1,Bhuttan,+1
28.8,140.1,19.4,10.6,7.1,144.7,1,Bhuttan,+1
34.5,137.7,22.7,11.9,5.5,145.0,1,Bhuttan,+1
51.2,144.9,8.0,8.1,5.2,147.4,0,Assam,-1
41.3,145.6,12.0,9.0,6.2,149.1,1,Bhuttan,+1
15.5,122.5,5.8,10.5,4.5,127.5,1,Bhuttan,+1
47.2,153.1,23.1,12.2,6.9,157.8,1,Bhuttan,+1
47.5,140.7,14.5,9.4,5.4,143.2,0,Assam,-1
55.4,139.9,12.1,8.0,5.1,142.4,0,Assam,-1
39.9,153.4,21.0,9.9,6.1,155.9,0,Assam,-1
40.5,151.5,16.4,10.8,4.9,156.2,1,Bhuttan,+1
31.4,134.4,3.8,12.9,7.9,139.2,1,Bhuttan,+1
40.4,163.3,11.5,7.3,4.1,165.8,0,Assam,-1
44.1,157.4,10.9,9.2,5.7,161.0,1,Bhuttan,+1
50.8,151.8,19.7,7.7,5.7,154.3,0,Assam,-1
53.4,131.4,14.9,8.0,5.6,133.9,0,Assam,-1
30.1,131.8,5.0,10.2,7.6,136.7,1,Bhuttan,+1
63.3,141.9,0.4,8.6,5.2,144.4,0,Assam,-1
51.0,136.4,20.0,8.5,7.4,138.9,0,Assam,-1
39.7,137.5,11.2,8.0,4.9,140.1,0,Assam,-1
64.0,153.1,9.4,10.7,5.4,158.3,1,Bhuttan,+1
52.4,141.7,22.2,8.3,6.7,147.3,1,Bhuttan,+1
39.2,152.6,2.2,10.8,4.9,156.1,1,Bhuttan,+1
54.2,140.1,6.1,8.6,5.7,143.6,1,Bhuttan,+1
55.2,164.4,14.6,10.4,5.2,170.3,1,Bhuttan,+1
39.5,140.1,16.3,10.4,6.1,143.6,0,Bhuttan,+1
46.1,153.9,9.1,8.6,3.8,156.4,0,Assam,-1
46.2,144.8,13.6,8.1,5.0,149.2,1,Bhuttan,+1
26.1,125.3,6.5,12.7,5.1,132.7,1,Bhuttan,+1
40.3,147.9,5.7,10.0,6.7,151.4,1,Bhuttan,+1
41.6,164.9,1.6,10.9,7.0,168.4,1,Bhuttan,+1
33.3,131.0,10.4,12.3,4.9,137.2,1,Bhuttan,+1
33.0,129.0,-4.3,7.8,8.3,135.6,1,Bhuttan,+1
34.5,127.6,9.2,9.3,5.9,134.9,1,Bhuttan,+1
31.1,143.7,8.3,10.2,4.6,146.2,0,Assam,-1
57.0,156.7,6.3,8.5,4.5,159.2,0,Assam,-1
50.5,143.8,8.3,8.5,5.4,147.7,1,Bhuttan,+1
53.9,141.7,9.2,9.6,7.1,145.2,1,Bhuttan,+1
46.1,156.8,7.3,6.2,5.1,159.3,0,Assam,-1
60.5,153.1,21.4,10.8,7.5,156.6,1,Bhuttan,+1
51.5,153.7,7.4,10.7,5.0,161.9,1,Bhuttan,+1
57.3,160.5,4.8,9.0,7.3,164.0,1,Bhuttan,+1
60.8,126.3,15.6,9.5,4.7,128.8,1,Assam,-1
33.1,138.8,9.4,12.3,5.8,144.0,1,Bhuttan,+1
30.7,135.8,10.2,7.7,5.9,141.1,1,Bhuttan,+1
45.2,143.0,17.2,9.4,6.1,146.5,1,Bhuttan,+1
43.3,136.6,7.3,9.7,6.1,140.1,0,Bhuttan,+1
45.3,150.9,12.8,12.8,5.8,155.2,1,Bhuttan,+1
33.8,140.9,6.5,10.0,6.6,144.4,1,Bhuttan,+1
44.9,136.3,16.7,8.5,5.6,140.1,0,Bhuttan,+1
46.9,143.5,15.9,9.6,3.4,146.0,0,Assam,-1
31.7,135.0,8.8,10.3,7.2,138.5,1,Bhuttan,+1
40.6,160.0,8.0,7.7,5.9,162.5,0,Assam,-1
45.0,142.8,14.4,11.1,6.7,146.3,1,Bhuttan,+1
39.7,146.1,12.7,5.3,3.9,148.6,0,Assam,-1
23.9,128.9,6.9,10.6,5.6,136.4,0,Bhuttan,+1
48.7,134.6,11.4,9.4,6.3,138.6,0,Assam,-1
67.8,163.4,6.2,12.4,5.8,166.9,1,Bhuttan,+1
28.8,138.9,15.6,7.1,4.1,141.4,0,Assam,-1
64.3,126.5,12.6,10.6,3.9,129.7,1,Assam,-1
58.6,143.9,8.2,6.0,4.5,146.4,0,Assam,-1
56.2,140.3,9.5,6.1,5.5,142.8,0,Assam,-1
42.7,137.7,5.6,13.2,5.7,147.8,1,Bhuttan,+1
49.6,155.2,6.5,11.0,5.4,157.7,0,Assam,-1
37.8,164.5,12.0,6.3,3.6,167.5,0,Assam,-1
39.2,170.1,16.4,10.3,6.8,174.0,1,Bhuttan,+1
43.9,139.3,9.0,10.3,5.5,141.8,0,Assam,-1
59.4,140.2,6.6,10.1,5.8,145.7,1,Bhuttan,+1
70.9,131.9,10.3,7.1,4.4,134.4,0,Assam,-1
34.4,132.7,4.9,10.1,5.8,137.5,1,Bhuttan,+1
66.1,141.7,11.1,8.7,5.4,146.3,0,Assam,-1
57.4,139.2,18.3,8.0,4.4,141.7,0,Assam,-1
34.8,131.7,1.8,15.1,6.4,139.2,0,Bhuttan,+1
53.3,152.1,16.6,9.4,5.1,154.6,0,Assam,-1
68.8,137.8,22.0,9.3,5.1,140.3,0,Assam,-1
62.3,153.9,20.2,6.2,5.0,156.4,0,Assam,-1
45.2,153.9,13.8,9.1,5.4,156.4,0,Assam,-1
51.0,163.0,6.6,6.4,4.6,166.5,1,Bhuttan,+1
46.5,145.1,7.3,7.8,4.5,147.6,0,Assam,-1
25.7,156.6,11.3,8.6,7.2,159.1,0,Assam,-1
56.3,149.9,8.2,8.3,5.8,156.8,0,Assam,-1
33.1,133.7,5.7,10.0,4.6,141.3,0,Bhuttan,+1
37.0,128.9,7.4,8.8,5.2,135.2,1,Bhuttan,+1
